,ratio,accuracy,name
0,0.025,0.7473846077919006,CNN 1
1,0.05,0.7681052684783936,CNN 1
2,0.07500000000000001,0.8139459490776062,CNN 1
3,0.1,0.8154444694519043,CNN 1
4,0.125,0.819771409034729,CNN 1
5,0.15,0.8350588083267212,CNN 1
6,0.17500000000000002,0.8389090895652771,CNN 1
7,0.2,0.8477500081062317,CNN 1
8,0.225,0.8490322828292847,CNN 1
9,0.25,0.8522666692733765,CNN 1
10,0.275,0.8526896834373474,CNN 1
11,0.30000000000000004,0.8560000061988831,CNN 1
12,0.32500000000000007,0.858222246170044,CNN 1
13,0.35000000000000003,0.8578461408615112,CNN 1
14,0.37500000000000006,0.8575999736785889,CNN 1
15,0.4,0.8586666584014893,CNN 1
16,0.42500000000000004,0.8674782514572144,CNN 1
17,0.45000000000000007,0.8672727346420288,CNN 1
18,0.47500000000000003,0.8657143115997314,CNN 1
19,0.5,0.8636000156402588,CNN 1
20,0.525,0.8625262975692749,CNN 1
21,0.55,0.863777756690979,CNN 1
22,0.5750000000000001,0.8665882349014282,CNN 1
23,0.6000000000000001,0.8677499890327454,CNN 1
24,0.6250000000000001,0.8736000061035156,CNN 1
25,0.65,0.8708571195602417,CNN 1
26,0.675,0.8766154050827026,CNN 1
27,0.7000000000000001,0.878333330154419,CNN 1
28,0.7250000000000001,0.8785454630851746,CNN 1
29,0.7500000000000001,0.8759999871253967,CNN 1
30,0.775,0.8751111030578613,CNN 1
31,0.8,0.8899999856948853,CNN 1
32,0.8250000000000001,0.8937143087387085,CNN 1
33,0.8500000000000001,0.8913333415985107,CNN 1
34,0.8750000000000001,0.8903999924659729,CNN 1
35,0.9,0.8920000195503235,CNN 1
36,0.925,0.874666690826416,CNN 1
37,0.9500000000000001,0.8519999980926514,CNN 1
38,0.9750000000000001,0.8560000061988831,CNN 1
