,ratio,accuracy,name
0,0.025,0.7584615384615384,SVM
1,0.05,0.7809473684210526,SVM
2,0.07500000000000001,0.8043243243243243,SVM
3,0.1,0.8116666666666666,SVM
4,0.125,0.8194285714285714,SVM
5,0.15,0.8184705882352942,SVM
6,0.17500000000000002,0.8250909090909091,SVM
7,0.2,0.82425,SVM
8,0.225,0.8281290322580646,SVM
9,0.25,0.8318666666666666,SVM
10,0.275,0.8348965517241379,SVM
11,0.30000000000000004,0.839,SVM
12,0.32500000000000007,0.8423703703703703,SVM
13,0.35000000000000003,0.8429230769230769,SVM
14,0.37500000000000006,0.84272,SVM
15,0.4,0.8448333333333333,SVM
16,0.42500000000000004,0.8504347826086956,SVM
17,0.45000000000000007,0.852909090909091,SVM
18,0.47500000000000003,0.8533333333333334,SVM
19,0.5,0.8544,SVM
20,0.525,0.8532631578947368,SVM
21,0.55,0.8555555555555555,SVM
22,0.5750000000000001,0.855764705882353,SVM
23,0.6000000000000001,0.85625,SVM
24,0.6250000000000001,0.8586666666666667,SVM
25,0.65,0.8597142857142858,SVM
26,0.675,0.8566153846153847,SVM
27,0.7000000000000001,0.8566666666666667,SVM
28,0.7250000000000001,0.8592727272727273,SVM
29,0.7500000000000001,0.8584,SVM
30,0.775,0.8626666666666667,SVM
31,0.8,0.865,SVM
32,0.8250000000000001,0.8662857142857143,SVM
33,0.8500000000000001,0.874,SVM
34,0.8750000000000001,0.876,SVM
35,0.9,0.866,SVM
36,0.925,0.8626666666666667,SVM
37,0.9500000000000001,0.87,SVM
38,0.9750000000000001,0.856,SVM
