,ratio,accuracy,name
0,0.025,0.7596923112869263,CNN 2
1,0.05,0.7788420915603638,CNN 2
2,0.07500000000000001,0.820756733417511,CNN 2
3,0.1,0.8246666789054871,CNN 2
4,0.125,0.826285719871521,CNN 2
5,0.15,0.8324705958366394,CNN 2
6,0.17500000000000002,0.8418181538581848,CNN 2
7,0.2,0.8381249904632568,CNN 2
8,0.225,0.8499354720115662,CNN 2
9,0.25,0.8515999913215637,CNN 2
10,0.275,0.8528276085853577,CNN 2
11,0.30000000000000004,0.8417142629623413,CNN 2
12,0.32500000000000007,0.8552592396736145,CNN 2
13,0.35000000000000003,0.8570769429206848,CNN 2
14,0.37500000000000006,0.8592000007629395,CNN 2
15,0.4,0.8514999747276306,CNN 2
16,0.42500000000000004,0.8535652160644531,CNN 2
17,0.45000000000000007,0.8607272505760193,CNN 2
18,0.47500000000000003,0.8628571629524231,CNN 2
19,0.5,0.8592000007629395,CNN 2
20,0.525,0.8625262975692749,CNN 2
21,0.55,0.8619999885559082,CNN 2
22,0.5750000000000001,0.8670588135719299,CNN 2
23,0.6000000000000001,0.8684999942779541,CNN 2
24,0.6250000000000001,0.8733333349227905,CNN 2
25,0.65,0.8768571615219116,CNN 2
26,0.675,0.8793846368789673,CNN 2
27,0.7000000000000001,0.8493333458900452,CNN 2
28,0.7250000000000001,0.8705454468727112,CNN 2
29,0.7500000000000001,0.8763999938964844,CNN 2
30,0.775,0.8662222027778625,CNN 2
31,0.8,0.8820000290870667,CNN 2
32,0.8250000000000001,0.852571427822113,CNN 2
33,0.8500000000000001,0.878000020980835,CNN 2
34,0.8750000000000001,0.881600022315979,CNN 2
35,0.9,0.8769999742507935,CNN 2
36,0.925,0.874666690826416,CNN 2
37,0.9500000000000001,0.871999979019165,CNN 2
38,0.9750000000000001,0.8920000195503235,CNN 2
