,ratio,accuracy,name
0,0.025,0.7243077158927917,CNN 5
1,0.05,0.7772631645202637,CNN 5
2,0.07500000000000001,0.805297315120697,CNN 5
3,0.1,0.7995555400848389,CNN 5
4,0.125,0.8269714117050171,CNN 5
5,0.15,0.8100000023841858,CNN 5
6,0.17500000000000002,0.83321213722229,CNN 5
7,0.2,0.8379999995231628,CNN 5
8,0.225,0.8298064470291138,CNN 5
9,0.25,0.8226666450500488,CNN 5
10,0.275,0.8503448367118835,CNN 5
11,0.30000000000000004,0.8452857136726379,CNN 5
12,0.32500000000000007,0.8456296324729919,CNN 5
13,0.35000000000000003,0.8527692556381226,CNN 5
14,0.37500000000000006,0.8532800078392029,CNN 5
15,0.4,0.8356666564941406,CNN 5
16,0.42500000000000004,0.843478262424469,CNN 5
17,0.45000000000000007,0.843818187713623,CNN 5
18,0.47500000000000003,0.8596190214157104,CNN 5
19,0.5,0.8497999906539917,CNN 5
20,0.525,0.8593684434890747,CNN 5
21,0.55,0.8608888983726501,CNN 5
22,0.5750000000000001,0.8665882349014282,CNN 5
23,0.6000000000000001,0.8694999814033508,CNN 5
24,0.6250000000000001,0.8693333268165588,CNN 5
25,0.65,0.8759999871253967,CNN 5
26,0.675,0.8772307634353638,CNN 5
27,0.7000000000000001,0.8733333349227905,CNN 5
28,0.7250000000000001,0.8705454468727112,CNN 5
29,0.7500000000000001,0.857200026512146,CNN 5
30,0.775,0.879111111164093,CNN 5
31,0.8,0.8684999942779541,CNN 5
32,0.8250000000000001,0.87371426820755,CNN 5
33,0.8500000000000001,0.8713333606719971,CNN 5
34,0.8750000000000001,0.8855999708175659,CNN 5
35,0.9,0.8579999804496765,CNN 5
36,0.925,0.8653333187103271,CNN 5
37,0.9500000000000001,0.8700000047683716,CNN 5
38,0.9750000000000001,0.8640000224113464,CNN 5
