,ratio,accuracy,name
0,0.025,0.6973333358764648,CNN 10
1,0.05,0.7647368311882019,CNN 10
2,0.07500000000000001,0.7790270447731018,CNN 10
3,0.1,0.7668889164924622,CNN 10
4,0.125,0.7594285607337952,CNN 10
5,0.15,0.8065882325172424,CNN 10
6,0.17500000000000002,0.8012121319770813,CNN 10
7,0.2,0.8184999823570251,CNN 10
8,0.225,0.8091613054275513,CNN 10
9,0.25,0.8223999738693237,CNN 10
10,0.275,0.8270344734191895,CNN 10
11,0.30000000000000004,0.8169999718666077,CNN 10
12,0.32500000000000007,0.8278518319129944,CNN 10
13,0.35000000000000003,0.829230785369873,CNN 10
14,0.37500000000000006,0.8270400166511536,CNN 10
15,0.4,0.8241666555404663,CNN 10
16,0.42500000000000004,0.8309565186500549,CNN 10
17,0.45000000000000007,0.8416363596916199,CNN 10
18,0.47500000000000003,0.8281905055046082,CNN 10
19,0.5,0.8303999900817871,CNN 10
20,0.525,0.8490526080131531,CNN 10
21,0.55,0.8288888931274414,CNN 10
22,0.5750000000000001,0.8258823752403259,CNN 10
23,0.6000000000000001,0.8457499742507935,CNN 10
24,0.6250000000000001,0.8482666611671448,CNN 10
25,0.65,0.8394285440444946,CNN 10
26,0.675,0.8396922945976257,CNN 10
27,0.7000000000000001,0.8460000157356262,CNN 10
28,0.7250000000000001,0.8436363339424133,CNN 10
29,0.7500000000000001,0.8464000225067139,CNN 10
30,0.775,0.8488888740539551,CNN 10
31,0.8,0.8495000004768372,CNN 10
32,0.8250000000000001,0.8479999899864197,CNN 10
33,0.8500000000000001,0.8579999804496765,CNN 10
34,0.8750000000000001,0.8367999792098999,CNN 10
35,0.9,0.8569999933242798,CNN 10
36,0.925,0.8519999980926514,CNN 10
37,0.9500000000000001,0.8560000061988831,CNN 10
38,0.9750000000000001,0.871999979019165,CNN 10
