,epochs,accuracy,name
0,1,0.8569999933242798,CNN 1
1,2,0.8650000095367432,CNN 1
2,3,0.8705000281333923,CNN 1
3,4,0.8640000224113464,CNN 1
4,5,0.8644999861717224,CNN 1
5,6,0.8725000023841858,CNN 1
6,7,0.871999979019165,CNN 1
7,8,0.8755000233650208,CNN 1
8,9,0.8690000176429749,CNN 1
9,10,0.8755000233650208,CNN 1
