,epochs,accuracy,name
0,1,0.8834999799728394,CNN 5
1,2,0.8700000047683716,CNN 5
2,3,0.8755000233650208,CNN 5
3,4,0.8840000033378601,CNN 5
4,5,0.8740000128746033,CNN 5
5,6,0.8820000290870667,CNN 5
6,7,0.875,CNN 5
7,8,0.8845000267028809,CNN 5
8,9,0.8824999928474426,CNN 5
9,10,0.8709999918937683,CNN 5
