,epochs,accuracy,name
0,1,0.8569999933242798,CNN 10 S
1,2,0.8629999756813049,CNN 10 S
2,3,0.859499990940094,CNN 10 S
3,4,0.847000002861023,CNN 10 S
4,5,0.8610000014305115,CNN 10 S
5,6,0.8510000109672546,CNN 10 S
6,7,0.8569999933242798,CNN 10 S
7,8,0.8654999732971191,CNN 10 S
8,9,0.8644999861717224,CNN 10 S
9,10,0.8550000190734863,CNN 10 S
